;Rank;P_Name;Clean_Sheets
0;1;Marc-André ter Stegen;26
1;2;Álex Remiro;15
2;3;David Soria;13
3;4;Predrag Rajković;12
4;5;Jeremías Ledesma;12
5;6;Jan Oblak;11
6;7;Thibaut Courtois;10
7;8;Stole Dimitrievski;9
8;9;Unai Simón;9
9;10;Rui Silva;9
0;1;David de Gea;17
1;2;Aaron Ramsdale;14
2;3;Nick Pope;14
3;4;Alisson;14
4;5;David Raya;12
5;6;Ederson;11
6;7;José Sá;11
7;8;Emiliano Martínez;11
8;9;Kepa Arrizabalaga;9
9;10;Bernd Leno;8
10;11;Łukasz Fabiański;8
11;12;Jordan Pickford;8
0;1;Mark Flekken;13
1;2;Koen Casteels;12
2;3;Frederik Rønnow;11
3;4;Gregor Kobel;11
5;5;Yann Sommer;8
6;6;Robin Zentner;7
7;7;Janis Blaswich;7
8;8;Kevin Trapp;6
9;9;Marvin Schwäbe;6
0;1;Brice Samba;15
1;2;Yehvann Diouf;14
2;3;Gianluigi Donnarumma;13
4;4;Kasper Schmeichel;11
5;5;Alban Lafont;11
6;6;Lucas Chevalier;10
7;7;Pau López;10
8;8;Mory Diaw;10
9;9;Maxime Dupé;9
10;10;Alexander Nübel;9
0;1;Ivan Provedel;21
1;2;Alex Meret;16
2;3;Wojciech Szczęsny;14
3;4;Rui Patrício;13
4;5;Vanja Milinković-Savić;11
5;6;Marco Silvestri;10
6;7;Michele Di Gregorio;10
7;8;Andrea Consigli;9
8;9;Mike Maignan;8
9;10;André Onana;8