Rank,Player,Country,Club_Name,Goals
1,Erling Haaland,Norway,Manchester City,12
2,Mohamed Salah,Egypt,Liverpool FC,8
3,Kylian Mbappé,France,Paris Saint-Germain,7
4,Vinícius Junior,Brazil,Real Madrid,7
5,Olivier Giroud,France,AC Milan,5
6,Robert Lewandowski,Poland,FC Barcelona,5
7,Victor Osimhen,Nigeria,SSC Napoli,5
8,Rodrygo,Brazil,Real Madrid,5
1,Marcus Rashford,England,Manchester United,6
2,Paulo Dybala,Argentina,AS Roma,5
3,Wissam Ben Yedder,France,AS Monaco,4
4,Ángel Di María,Argentina,Juventus FC,4
5,Youssef En-Nesyri,Morocco,Sevilla FC,4
6,Robin Knoche,Germany,FC Union Berlin ,4
7,Lorenzo Pellegrini,Italy,AS Roma,4
1,Michail Antonio,Jamaica,West Ham United,6
2,Luka Jović,Serbia,ACF Fiorentina,6
3,Antonín Barák,Czech Republic,ACF Fiorentina,5
4,Jarrod Bowen,England,West Ham United,5
5,Nicolás González,Argentina,ACF Fiorentina,5