Rank,P_Name,TEAM,Played,Stats
1,Lionel Messi,Argentina,7,3
2,Ivan Perisic,Croatia,7,3
3,Antoine Griezmann,France,7,3
4,Harry Kane,England,5,3
5,Bruno Fernandes,Portugal,4,3
6,Kylian Mbappé,France,7,2
7,Ousmane Dembélé,France,7,2
8,Theo Hernández,France,6,2
19,Denzel Dumfries,Netherlands,5,2
1,Kylian Mbappé,France,7,8
2,Lionel Messi,Argentina,7,7
3,Julián Álvarez,Argentina,7,4
4,Olivier Giroud,France,6,4
5,Cody Gakpo,Netherlands,5,3
6,Marcus Rashford,England,5,3
7,Richarlison,Brazil,4,3
8,Bukayo Saka,England,4,3
9,Álvaro Morata,Spain,4,3